,0,1,2,3,4,5,6,7
0,0.72780087,2.08402363,3.44444268,0.1336145,2.99491857,3.78068026,1.13795579,1.94539537
1,0.66767553,1.72686372,2.5888507,0.13156551,2.34315126,2.84592511,1.21911317,1.82793589
2,0.67074119,1.70590181,2.57269163,0.13149651,2.33942795,2.74369907,0.9911546,1.62473431
3,0.67144081,1.70440842,2.56056386,0.13162741,2.32104991,2.73283716,0.79545382,1.42668813
4,0.67005107,1.70366055,2.52310969,0.13132857,2.30561354,2.73362057,0.90991007,1.52974059
5,0.67236768,1.70307157,2.54102411,0.13175218,2.3181035,2.7307513,1.24347737,1.81936474
6,0.67643183,1.70313435,2.56200251,0.13172265,2.34579805,2.73412048,0.94906121,1.57272637
7,0.67587968,1.70460619,2.62737306,0.13161085,2.38637928,2.73339412,1.07390471,1.66977928
8,0.68207079,1.70417695,2.61062247,0.13160558,2.363429,2.73670104,0.9126711,1.51470648
9,0.68302373,1.70450328,2.64104707,0.13157877,2.38678887,2.73810411,0.96878501,1.56366439
10,0.68304632,1.70466363,2.65346015,0.13149776,2.39419043,2.73902776,1.19898101,1.75992146
11,0.68829909,1.70486155,2.70242243,0.13175824,2.40351377,2.73745348,1.38836554,1.91158051
12,0.69559279,1.70541985,2.73934016,0.13210041,2.42431173,2.74150883,1.1619045,1.72173639
13,0.6979044,1.70575933,2.7761828,0.1320365,2.46206249,2.74167143,1.18850896,1.72863647
14,0.70151855,1.70550747,2.79893224,0.13204978,2.47551826,2.74134562,1.39362444,1.90538496
15,0.6997818,1.70546061,2.78965902,0.13212347,2.46434676,2.74452665,1.90589267,2.28036215
16,0.71234197,1.70594624,2.89267179,0.13229099,2.54812231,2.74136153,1.76575623,2.19767216
17,0.72038163,1.70634771,2.92510691,0.13230428,2.55513853,2.74704668,1.68126588,2.1274461
18,0.72608334,1.7074811,2.97892618,0.13267184,2.54868769,2.75376981,1.6984579,2.11596437
19,0.72640359,1.70855636,3.01039385,0.13250141,2.56650146,2.76033701,1.84622419,2.22205487
20,0.740753,1.7086024,3.0419054,0.13252721,2.60543071,2.76560791,1.3522127,1.81438372
21,0.74154006,1.70865193,3.06565361,0.13262107,2.61187679,2.76764037,1.73009328,2.10083901
22,0.74616698,1.70996928,3.1478669,0.13314793,2.6233225,2.76928406,2.35609049,2.52134211
23,0.75219786,1.71010763,3.18032762,0.13291815,2.6218972,2.76923273,2.39609226,2.58301036
24,0.76683236,1.71052778,3.19345069,0.13334572,2.66175293,2.77771246,1.77684132,2.12542025
25,0.78311906,1.71144135,3.33970844,0.13302152,2.72021147,2.77696749,1.45978565,1.82131879
26,0.78655246,1.71193003,3.35515217,0.13322894,2.7192945,2.78115212,1.65026775,1.96169652
27,0.78569826,1.71119452,3.34332104,0.13403226,2.67651306,2.7799936,2.13838289,2.34751422
28,0.79203756,1.71123798,3.40002939,0.13414744,2.69679147,2.77421506,2.48870238,2.58985046
29,0.80336218,1.71284564,3.41681376,0.13378785,2.78599941,2.78912392,1.56082389,1.85273892
30,0.79097297,1.71186829,3.38819382,0.13330282,2.72452896,2.7809526,2.23147254,2.40384011
31,0.82653161,1.71284298,3.47107731,0.13423955,2.84316045,2.79616625,1.04705591,1.38026406
32,0.83189851,1.71284759,3.49131966,0.13436452,2.85696123,2.79889473,1.04769785,1.35205283
33,0.82365864,1.71320789,3.50167393,0.13417126,2.83950219,2.79574469,1.57634552,1.80791632
34,0.80239732,1.7126221,3.42581752,0.1340882,2.74047588,2.79082401,2.37520884,2.48898529
35,0.82831433,1.71243261,3.46847509,0.13438346,2.82437584,2.79764602,1.45157202,1.72478695
36,0.83073746,1.71213729,3.47720571,0.13356574,2.83373932,2.79689641,1.2622641,1.55003909
37,0.82788308,1.71271141,3.479645,0.13406773,2.84112018,2.79925141,1.37192102,1.65826247
38,0.81392915,1.71424201,3.51855025,0.13465323,2.81859893,2.7967279,2.26029024,2.38729657
39,0.80496265,1.71402731,3.48276539,0.13425538,2.75829075,2.79123935,2.47967637,2.59275782
40,0.80773688,1.71163826,3.40939269,0.13428018,2.74790493,2.78761098,1.99192939,2.19151005
41,0.8082487,1.7123788,3.45251899,0.13390469,2.79828665,2.78624949,1.82988321,2.08217236
42,0.80292962,1.71280781,3.45054701,0.13389804,2.78854047,2.78431,1.83198159,2.06828988
43,0.80828406,1.71222346,3.42769673,0.13360299,2.77621959,2.78717224,1.3482107,1.6724844
44,0.79403189,1.71123172,3.33113561,0.13356406,2.73745859,2.7870546,1.57023314,1.87405188
45,0.79212007,1.71209614,3.36318752,0.13403871,2.7816849,2.78698016,1.41539713,1.76606194
46,0.78255611,1.71303384,3.36527101,0.13314055,2.76318687,2.78471441,1.53080349,1.86528918
47,0.77346718,1.71111667,3.24204335,0.13309567,2.66044473,2.78145853,1.83263151,2.11823533
48,0.77518462,1.71156702,3.24441624,0.13299272,2.72982682,2.78329508,0.91934246,1.35626811
49,0.76245851,1.71049065,3.15408337,0.13331375,2.6862845,2.78216003,1.28499771,1.67915076
50,0.75062613,1.70902535,3.06274418,0.13297857,2.62309223,2.77674704,1.53107414,1.91796658
51,0.73210696,1.70800995,2.97141722,0.13301791,2.56348696,2.77151574,2.18450678,2.4242135
52,0.73530958,1.70824942,3.02094933,0.13288157,2.56317352,2.7651056,2.16575871,2.45224181
53,0.73016257,1.70769212,2.98477846,0.13253616,2.5623343,2.76256255,1.87468736,2.26773228
54,0.72289762,1.70845151,2.9615836,0.13270591,2.5638835,2.76293378,1.48873744,1.9551166
55,0.71275232,1.70729314,2.88264662,0.13229551,2.49508486,2.75835612,2.09021045,2.39051215
56,0.71463377,1.70655131,2.86246103,0.13220099,2.52235236,2.75652577,1.21801197,1.74722657
57,0.70680301,1.70638001,2.7931881,0.1319135,2.48097343,2.75594172,0.93240261,1.48001476
58,0.7033049,1.70556175,2.7475795,0.1317378,2.44797513,2.75253375,1.0297818,1.56837154
59,0.6975133,1.7058632,2.74503997,0.13186311,2.42808413,2.74732985,1.0732383,1.6251807
60,0.69335423,1.70562081,2.71987437,0.13171757,2.41094703,2.74362455,1.1555282,1.70283109
61,0.68930797,1.70565108,2.70562144,0.13157369,2.41594214,2.74354859,1.12822413,1.69314854
62,0.68563017,1.70581836,2.70486413,0.13153861,2.41268699,2.73936729,1.04418628,1.62551988
63,0.68264041,1.70573331,2.66840635,0.13163371,2.3751235,2.74018213,1.14293173,1.71882897
64,0.67385558,1.70464086,2.58350877,0.13151868,2.34689707,2.7406153,1.55723542,2.06759247
65,0.67572556,1.70454689,2.61236343,0.13154225,2.37241487,2.73603751,1.01364055,1.63083359
66,0.67260196,1.70430212,2.58015118,0.13149748,2.35545463,2.7357707,1.10403792,1.70456652
67,0.67154947,1.70438565,2.56711458,0.13146116,2.33597824,2.73413922,0.98124294,1.59594398
68,0.67303253,1.70391916,2.56216892,0.13164262,2.34130927,2.73373107,0.96622844,1.59651548
69,0.67015973,1.70457837,2.55239667,0.13144236,2.33109086,2.73579571,0.78389679,1.4085551
70,0.66916747,1.70408996,2.54181007,0.13147877,2.317694,2.73254391,0.91559996,1.5325849
71,0.66530417,1.70312409,2.48667531,0.1313712,2.28271469,2.73121954,1.2082903,1.7999808
72,0.66241629,1.70311246,2.50045807,0.13143391,2.27755499,2.72804307,1.63439501,2.1413963
73,0.66824122,1.70357181,2.55415447,0.13142967,2.30349348,2.72628198,1.23131423,1.84983413
74,0.66996117,1.70347612,2.52535767,0.13148492,2.29936508,2.73123147,1.1364648,1.75163064
75,0.66829771,1.7032413,2.5090085,0.13136925,2.3040758,2.73322323,1.21454532,1.81331092
76,0.67162625,1.70345153,2.54331333,0.13158927,2.32025592,2.73162376,0.957729,1.58654238
77,0.66480424,1.70343977,2.5299705,0.13154597,2.30690171,2.73053803,1.97227679,2.33069003
78,0.66885685,1.70345417,2.52423857,0.13135039,2.3066173,2.73460368,1.58327115,2.12523914
79,0.67794862,1.70474637,2.63872687,0.13152193,2.35361317,2.73282541,1.15269928,1.75538165
80,0.67832522,1.70434656,2.62051767,0.13179248,2.36464559,2.73446546,1.36105292,1.91213496
81,0.68237044,1.70414911,2.62657566,0.13181719,2.35036878,2.73523097,1.26766858,1.82855961
82,0.68720577,1.70426909,2.66004033,0.13168299,2.38014401,2.73636251,1.09719518,1.67784802
83,0.68965451,1.70545576,2.71957701,0.13171897,2.42428356,2.73879594,0.96546278,1.53704613
84,0.69042142,1.70577878,2.73897655,0.13167494,2.44844393,2.74334707,1.29799452,1.8437743
85,0.68895081,1.70518368,2.70393061,0.1315347,2.40139104,2.74523065,2.09382716,2.39961479
86,0.70580708,1.70550975,2.82000468,0.13207807,2.47957415,2.74228997,1.29315807,1.84070534
87,0.71116046,1.70720301,2.86972414,0.13209629,2.51736289,2.75209114,1.05009935,1.59229508
88,0.70722486,1.70631841,2.8192707,0.13219944,2.47152896,2.75408233,1.60665617,2.04022454
89,0.7182965,1.70573581,2.87850359,0.13239273,2.50309863,2.75057425,1.42809141,1.91271866
90,0.72907174,1.70767183,2.97411729,0.13237064,2.54469925,2.7568353,1.13435101,1.63989432
91,0.73695359,1.70908152,3.06309706,0.13261158,2.6108377,2.76240086,1.34705672,1.80202498
92,0.74562647,1.7089156,3.06464827,0.13227994,2.61972595,2.76603728,0.93710541,1.4244942
93,0.75518109,1.7097337,3.15822753,0.13257763,2.6640862,2.76541373,0.90100555,1.37536652
94,0.7482285,1.70908216,3.09591091,0.13310192,2.61592127,2.77031662,1.75632791,2.07848337
95,0.75730452,1.70968146,3.1666102,0.13293107,2.64692632,2.77028885,1.75072841,2.08162811
96,0.76695813,1.70959532,3.18017737,0.13312246,2.67652052,2.77617389,1.47376996,1.83647346
97,0.76929495,1.71130512,3.29085997,0.13337377,2.74145689,2.77660764,1.78566779,2.08615229
98,0.77580532,1.71164621,3.26270999,0.13313273,2.69619668,2.78322121,1.82985107,2.10665016
99,0.77374256,1.71157778,3.28771461,0.13402337,2.68742306,2.78216908,2.39549185,2.53080648
100,0.79201771,1.71077432,3.33188482,0.13389818,2.73177749,2.78232366,1.8102306,2.10461372
101,0.79095158,1.71234138,3.38606077,0.13363408,2.7617172,2.7878282,2.21445923,2.39383166
102,0.79221556,1.71289452,3.39262191,0.13376324,2.74758466,2.78952085,2.4257796,2.56356449
103,0.81755163,1.713565,3.51957494,0.13421963,2.84484132,2.7883451,1.50570638,1.78479214
104,0.80604654,1.71272871,3.4095367,0.13382097,2.78328873,2.79506546,1.80602251,2.0276382
105,0.82194092,1.7135425,3.51277659,0.13434219,2.83375371,2.79530005,1.88440511,2.09379513
106,0.8228752,1.71381686,3.52892269,0.1341137,2.81741246,2.79417016,1.6164688,1.85671564
107,0.82316198,1.7134683,3.52839389,0.13382488,2.83134567,2.79229722,1.61215498,1.87129173
108,0.83795656,1.71352653,3.58207203,0.13443383,2.84706232,2.7958667,1.48555466,1.76370846
109,0.81338798,1.71404199,3.51769083,0.13421576,2.78782512,2.79308282,2.2413863,2.39283923
110,0.81542232,1.71392149,3.51552264,0.13396646,2.83381877,2.79334977,1.88334233,2.10961336
111,0.80647495,1.71215532,3.39181245,0.13336392,2.75284542,2.79361149,2.04173661,2.22596395
112,0.82425682,1.71135854,3.429539,0.13409387,2.80263135,2.79485583,1.50483933,1.77400712
113,0.81696188,1.7111932,3.38894993,0.13362158,2.80234901,2.79574779,1.21799886,1.51452106
114,0.81402046,1.71045442,3.39786341,0.13441245,2.77856791,2.78420845,1.42144489,1.68541544
115,0.79073004,1.71183856,3.32118034,0.1334167,2.74480191,2.79034732,1.76307345,2.01345471
116,0.81013133,1.71220585,3.40297046,0.13372099,2.81171681,2.790794,0.93479114,1.30508383
117,0.79257595,1.71165141,3.32538424,0.13339425,2.75194775,2.78723289,1.18740831,1.52382865
118,0.79514869,1.7117652,3.33738579,0.13372211,2.77892936,2.78807399,0.9651265,1.36804458
119,0.77615538,1.71117022,3.25206948,0.13314687,2.72259242,2.7843964,1.32284546,1.69271793
120,0.76605385,1.71121877,3.22771962,0.13306904,2.69629739,2.78026496,1.60676612,1.95865696
121,0.7601507,1.71111931,3.2148543,0.13302193,2.69515355,2.77821968,1.72910028,2.08548192
122,0.75898045,1.71082701,3.17590036,0.13283906,2.68971053,2.77790966,1.21881135,1.65041637
123,0.74471739,1.71044221,3.11068897,0.13268851,2.64491497,2.77332858,1.38921642,1.8045923
124,0.74370801,1.70919108,3.06586744,0.13260306,2.63613552,2.77039837,1.17441336,1.65142804
125,0.72618992,1.70856929,3.00909061,0.13270127,2.59838823,2.76295732,1.93680159,2.24990378
126,0.72019145,1.70824,2.96379861,0.13243895,2.57732525,2.76213976,1.61627849,2.05310054
127,0.72148053,1.70901475,2.98799029,0.13246375,2.59599547,2.76154927,1.24060623,1.74778137
128,0.71468296,1.70798193,2.91958673,0.13215374,2.54296502,2.75318859,1.22391754,1.72742827
129,0.70697352,1.70755681,2.85713874,0.13225495,2.51447815,2.7543268,1.13688997,1.65844153
130,0.69292119,1.70607504,2.73674517,0.13210721,2.42647535,2.75159101,1.91832065,2.2753248
131,0.69145197,1.70566211,2.72709657,0.13213867,2.41735273,2.74776011,2.03527623,2.40083032
132,0.68704729,1.70528933,2.70956614,0.13179917,2.3867227,2.74343257,2.11661043,2.46514478
