time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
67,68.04,48.65,18.85,16.25,21.97,3.40,6.10,3.68,8.73,15.51,-1.16
68,68.34,48.00,18.74,16.73,22.83,4.31,5.61,2.95,8.73,16.87,-0.96
69,69.35,49.23,19.84,15.44,22.97,4.33,6.74,3.87,9.52,15.17,-0.84
70,70.47,47.95,19.35,16.67,22.65,3.78,6.18,3.58,9.51,15.68,-0.36
71,70.04,48.92,20.75,16.27,23.37,5.87,6.70,3.49,9.06,16.31,-1.74
72,69.60,49.30,19.15,17.34,23.05,3.46,6.90,3.52,8.25,16.36,-0.62
73,69.66,48.88,19.95,16.99,23.34,4.29,6.47,4.36,8.61,16.78,-0.80
74,69.45,49.37,19.67,17.10,23.35,3.27,7.41,4.23,8.38,16.41,-1.00
75,69.13,48.11,20.14,16.10,22.89,4.18,6.34,4.10,9.26,16.25,-0.12
76,68.58,48.32,19.28,16.66,23.22,3.95,7.17,4.49,8.66,16.18,0.04
77,68.16,47.40,20.34,16.98,23.33,3.92,6.91,3.66,8.93,16.73,-1.00
78,66.91,47.13,19.65,15.52,22.13,4.56,4.92,3.91,8.14,15.81,-1.14
79,66.83,46.41,18.88,15.28,22.27,4.74,5.61,3.79,9.31,15.01,-0.45
80,65.65,45.08,18.27,15.01,21.86,3.96,6.25,2.89,8.19,15.27,-1.39
81,64.03,44.59,17.91,15.49,22.19,3.13,6.67,3.55,7.96,14.21,-0.13
82,62.86,43.81,17.95,15.77,21.53,4.32,6.05,3.66,8.02,14.34,-1.22
83,61.47,42.73,16.89,14.41,20.34,3.45,4.64,3.34,8.21,13.29,-1.41
84,59.91,42.25,16.81,14.75,20.05,4.63,5.52,3.26,7.61,15.11,0.15
85,58.70,40.93,16.62,13.65,19.31,2.84,4.87,2.84,8.23,14.49,-0.35
86,56.53,39.68,15.30,14.24,20.19,3.21,4.69,3.03,6.30,13.51,0.34
87,55.08,38.11,16.68,13.15,18.49,3.76,5.55,2.56,6.99,12.39,-0.18
88,54.23,37.19,14.67,12.81,18.48,4.67,4.88,3.15,6.21,12.75,-1.24
89,52.32,36.53,15.50,13.15,16.61,2.99,5.66,2.82,6.79,12.37,-0.84
90,49.87,36.66,13.99,12.37,17.81,3.43,4.73,2.59,6.28,11.89,-0.88
91,48.40,33.24,14.30,11.21,15.69,3.11,3.50,2.25,6.21,11.63,-0.44
92,46.60,32.33,13.15,11.14,15.86,2.75,3.71,2.13,6.78,10.27,-0.52
93,45.15,31.62,12.61,10.70,15.08,3.52,3.19,2.31,5.68,10.67,-0.28
94,43.40,30.71,12.84,10.65,14.63,2.69,4.59,2.89,5.28,10.07,-0.31
95,41.70,28.35,12.30,9.80,14.94,2.44,4.65,1.75,5.92,9.34,-1.36
96,39.06,27.66,12.57,9.22,13.93,2.10,3.45,2.27,5.15,8.76,-0.09
97,39.48,27.42,11.53,8.51,12.71,2.38,4.13,2.13,4.47,9.25,-0.35
98,37.66,26.31,10.16,9.02,12.38,3.16,3.68,2.51,5.10,8.13,-0.88
99,36.25,24.13,9.76,9.14,11.69,2.20,3.16,0.85,4.69,8.36,-0.12
100,35.10,24.62,9.74,8.01,12.41,1.88,3.48,3.13,4.12,8.78,-0.39
101,33.04,22.60,9.29,7.30,11.96,3.02,2.62,2.10,3.73,7.41,0.28
102,32.58,23.34,9.74,6.95,11.26,2.06,3.39,2.00,3.04,7.64,-0.02
103,31.20,22.73,8.71,7.91,10.91,2.82,2.67,1.88,5.06,7.49,-0.40
104,31.58,22.05,7.91,7.42,9.48,2.30,3.21,1.77,3.48,6.90,-1.85
105,30.37,22.23,9.41,8.22,10.23,1.37,2.81,1.51,4.47,6.95,-0.57
106,30.40,21.10,8.31,7.32,9.91,2.54,3.10,1.92,3.38,7.11,-0.16
