,N9,N3,N5,N7,L4,L10
0,-68.60918426513672,34.635108947753906,33.87954330444336,28.439258575439453,16.470142364501953,15.66976261138916
1,-68.3609848022461,34.63369369506836,33.66176223754883,28.374969482421875,16.911222457885742,15.835054397583008
2,-69.30824279785156,34.66762161254883,33.94403076171875,28.548675537109375,16.572338104248047,15.724302291870117
3,-68.06803131103516,34.895042419433594,34.01690673828125,28.623071670532227,16.782224655151367,15.311873435974121
4,-67.81779479980469,34.76859664916992,34.15713119506836,28.96651268005371,16.325340270996094,15.253152847290039
5,-67.10552978515625,35.387123107910156,34.55725860595703,29.73371124267578,16.426992416381836,15.089208602905273
6,-66.26148986816406,35.5767822265625,35.0716667175293,29.96076774597168,16.13698387145996,15.169804573059082
7,-65.49635314941406,35.880882263183594,35.215370178222656,30.501150131225586,15.874013900756836,14.695523262023926
8,-64.59019470214844,36.404544830322266,35.728145599365234,31.135082244873047,15.494524002075195,14.177924156188965
9,-63.437355041503906,36.69972610473633,36.139747619628906,31.567520141601562,15.228955268859863,14.259897232055664
10,-62.26243209838867,37.04450607299805,36.464595794677734,32.266151428222656,14.877279281616211,13.890291213989258
11,-60.60757827758789,37.9102897644043,37.04283905029297,33.19236755371094,14.682995796203613,13.381422996520996
12,-59.95787811279297,38.352935791015625,37.58814239501953,33.66625213623047,14.617701530456543,13.285602569580078
13,-58.40354919433594,38.7586784362793,38.04835510253906,34.37129592895508,14.214274406433105,12.848920822143555
14,-56.314796447753906,39.41790771484375,38.63637161254883,34.907772064208984,13.87392520904541,13.142908096313477
15,-55.41731262207031,39.67461395263672,39.04605484008789,35.77775955200195,13.505711555480957,12.452507972717285
16,-53.37290573120117,40.59782028198242,39.96519088745117,36.75876235961914,12.910041809082031,12.252829551696777
17,-51.71039581298828,41.181488037109375,40.531681060791016,37.31828308105469,12.495856285095215,12.248658180236816
18,-50.53457260131836,41.637107849121094,40.959320068359375,38.29462432861328,12.302526473999023,11.463255882263184
19,-47.85441589355469,42.018863677978516,41.54792785644531,38.96491241455078,11.760272979736328,11.211797714233398
20,-47.03517150878906,42.45555877685547,42.10908508300781,39.81627655029297,11.143193244934082,10.88669490814209
21,-44.42829132080078,42.9644889831543,42.65122604370117,40.361183166503906,10.83056640625,10.569817543029785
22,-43.948646545410156,43.50410461425781,43.18216323852539,40.89927673339844,10.61106014251709,10.34587574005127
23,-42.714027404785156,43.848270416259766,43.4240837097168,41.370750427246094,10.158251762390137,9.744385719299316
24,-41.561279296875,44.137184143066406,43.88277053833008,41.9174919128418,9.98784351348877,9.319604873657227
25,-39.36447525024414,44.80074691772461,44.3233757019043,42.53760528564453,9.292276382446289,8.631759643554688
26,-37.491798400878906,45.1268424987793,44.692176818847656,43.0517692565918,9.05283260345459,8.381427764892578
27,-36.04670333862305,45.40626525878906,44.93186950683594,43.43095779418945,9.312045097351074,8.20072078704834
28,-36.39097213745117,45.67625427246094,45.23590087890625,43.76681900024414,8.85781192779541,8.144129753112793
29,-34.74062728881836,45.67410659790039,45.46281051635742,44.33149337768555,8.349822044372559,7.539130687713623
30,-34.305397033691406,45.71736145019531,45.36080551147461,43.995574951171875,8.304543495178223,7.800771236419678
31,-33.0607795715332,46.17616653442383,46.02424621582031,44.441490173339844,8.131107330322266,7.301084518432617
32,-32.477149963378906,46.34669876098633,46.158241271972656,44.67515563964844,7.995562553405762,7.058539390563965
33,-32.211944580078125,46.35858154296875,46.16147232055664,44.96840286254883,7.751033306121826,6.935225009918213
34,-31.402624130249023,46.2323112487793,46.07674789428711,44.968597412109375,7.84934663772583,6.9903764724731445
35,-31.23046112060547,46.443538665771484,46.29788589477539,45.002845764160156,7.803242206573486,7.082240104675293
36,-30.96112823486328,46.48868179321289,46.27401351928711,44.938716888427734,7.398557186126709,7.005911827087402
37,-31.790176391601562,46.388404846191406,46.24192810058594,44.80548095703125,7.72590446472168,7.513032913208008
38,-31.734548568725586,46.399417877197266,46.337493896484375,45.310020446777344,7.683830261230469,6.695394039154053
39,-31.63262367248535,46.295677185058594,46.115909576416016,45.10930252075195,7.800046920776367,6.639407634735107
40,-32.163970947265625,46.126590728759766,45.833595275878906,44.792762756347656,8.259821891784668,6.610424041748047
41,-33.62495040893555,45.997196197509766,45.71808624267578,44.3486328125,8.23322582244873,7.636878490447998
42,-33.91483688354492,45.87138748168945,45.540218353271484,44.310855865478516,8.406501770019531,7.204015254974365
43,-34.378780364990234,45.8140983581543,45.4041862487793,43.89613723754883,8.517556190490723,7.6739397048950195
44,-35.3011360168457,45.436302185058594,45.148616790771484,43.58652877807617,8.82071590423584,8.094765663146973
45,-36.83307647705078,45.195438385009766,44.9702262878418,43.139869689941406,9.363693237304688,8.720438957214355
46,-38.03049087524414,44.9019660949707,44.59907150268555,42.88182830810547,9.116776466369629,8.521660804748535
47,-39.17424011230469,44.645530700683594,44.26319885253906,42.64910888671875,9.379190444946289,8.405172348022461
48,-40.476688385009766,44.18041229248047,44.02665328979492,41.78245544433594,9.78774642944336,8.964851379394531
49,-42.532981872558594,43.67774200439453,43.60087966918945,41.487144470214844,10.328675270080566,9.393579483032227
50,-43.26286697387695,43.28206253051758,43.150604248046875,40.908870697021484,10.615910530090332,9.932246208190918
51,-45.84897232055664,42.53559494018555,42.50944900512695,40.110816955566406,11.222776412963867,10.656662940979004
52,-47.0026741027832,42.60353088378906,42.2254638671875,39.79998779296875,11.319914817810059,10.747694969177246
53,-47.79722595214844,42.14419174194336,41.717132568359375,38.84854507446289,11.696267127990723,11.557859420776367
54,-49.89929962158203,41.37042999267578,41.04444122314453,38.14244842529297,12.410161972045898,11.442900657653809
55,-51.629600524902344,40.98686599731445,40.52293014526367,37.50240707397461,12.465097427368164,11.971247673034668
56,-53.43238830566406,40.30818557739258,40.00495147705078,36.752662658691406,12.836199760437012,11.958991050720215
57,-54.08066940307617,39.634212493896484,39.38841247558594,35.868282318115234,13.224175453186035,12.095847129821777
58,-55.682395935058594,39.264976501464844,38.95989227294922,35.44404983520508,13.314152717590332,12.300707817077637
59,-57.99155807495117,38.69853210449219,38.08409118652344,34.302738189697266,14.094532012939453,12.906133651733398
60,-60.313446044921875,38.132022857666016,37.401554107666016,33.636138916015625,14.3380765914917,12.989648818969727
61,-60.6098518371582,37.7396354675293,37.17276382446289,33.15444564819336,14.447662353515625,13.450261116027832
62,-61.736366271972656,37.321189880371094,36.535125732421875,32.32123947143555,14.905145645141602,13.711342811584473
63,-63.39033126831055,36.880680084228516,36.06206512451172,31.696361541748047,15.289505004882812,14.136316299438477
64,-64.86717987060547,36.01253128051758,35.559207916259766,31.064701080322266,15.492335319519043,14.703283309936523
65,-64.71590423583984,35.90528869628906,35.316734313964844,30.54093360900879,15.807699203491211,14.67696475982666
66,-66.05287170410156,35.44761276245117,34.86872482299805,30.0028018951416,16.023357391357422,14.996891021728516
67,-67.2257308959961,35.110084533691406,34.41230773925781,29.504234313964844,16.251407623291016,14.882061004638672
68,-67.93529510498047,35.05895233154297,34.439231872558594,28.93220329284668,16.49538230895996,15.886317253112793
69,-68.63424682617188,34.51742172241211,34.08232116699219,28.90767478942871,16.44084358215332,14.905818939208984
70,-68.26367950439453,34.67475128173828,33.94386291503906,28.82330322265625,16.59968376159668,15.15298080444336
71,-68.92729949951172,34.325382232666016,33.579833984375,28.50625991821289,16.68255615234375,15.479825973510742
72,-68.52789306640625,34.5068244934082,33.50028610229492,28.57982063293457,16.801952362060547,15.490188598632812
73,-68.58184814453125,34.8430061340332,33.6572151184082,28.34529685974121,16.752992630004883,15.877645492553711
74,-68.29744720458984,34.8621711730957,34.048641204833984,28.84627914428711,16.523296356201172,15.60770034790039
75,-68.50274658203125,34.61381912231445,34.104347229003906,29.02788734436035,16.31310272216797,15.481468200683594
76,-67.24624633789062,35.08206558227539,34.36699676513672,29.126998901367188,16.50179100036621,15.406631469726562
77,-67.54418182373047,35.13795852661133,34.26980972290039,29.412343978881836,16.397586822509766,15.482163429260254
78,-66.2858657836914,35.309452056884766,34.77889633178711,30.132389068603516,15.8526029586792,14.950478553771973
79,-65.87785339355469,36.11604690551758,35.165767669677734,30.52978515625,15.746416091918945,14.624154090881348
80,-64.386962890625,36.46659469604492,35.643699645996094,31.204360961914062,15.727387428283691,14.465131759643555
81,-63.73953628540039,36.8637580871582,35.922000885009766,31.773426055908203,15.499673843383789,13.852364540100098
82,-62.10096740722656,37.380802154541016,36.55944061279297,32.316829681396484,14.999947547912598,13.835495948791504
83,-60.621002197265625,37.73615264892578,37.02370071411133,33.09620666503906,14.700745582580566,13.017498016357422
84,-59.674495697021484,38.07173156738281,37.54815673828125,33.274112701416016,14.365052223205566,14.121380805969238
85,-58.54933166503906,38.598819732666016,38.03263854980469,34.30724334716797,13.735745429992676,13.519124031066895
86,-56.2590217590332,39.605289459228516,38.85287857055664,35.16884231567383,13.687211990356445,12.936309814453125
87,-55.133567810058594,39.89735794067383,39.46040344238281,35.96882247924805,13.194052696228027,12.265870094299316
88,-52.625579833984375,40.31187438964844,39.84449005126953,36.72011184692383,13.026878356933594,12.035332679748535
89,-51.08634948730469,41.04444122314453,40.38024139404297,37.236572265625,12.786972045898438,11.942622184753418
90,-50.08722686767578,41.576087951660156,40.971736907958984,37.94914245605469,12.212728500366211,11.366659164428711
91,-48.437652587890625,42.201324462890625,41.76417922973633,39.00412368774414,11.620537757873535,11.037775993347168
92,-46.83277893066406,42.54549789428711,42.11934280395508,39.396644592285156,11.10002613067627,10.289475440979004
