time,N1,N2,N3,N4,N5,N6,N7,N8,
81,2.95,5.47,11.07,1.39,9.34,7.20,13.22,11.76
82,3.45,4.22,17.46,1.30,7.89,7.92,9.24,10.47
83,1.98,5.43,17.03,1.22,11.88,7.14,7.56,10.26
84,2.82,6.09,19.25,1.16,8.71,9.89,6.93,9.13
85,4.32,5.75,13.96,1.21,8.22,6.69,11.39,10.07
86,3.25,4.98,11.03,0.83,8.28,7.99,5.07,13.70
87,2.47,2.71,15.40,0.84,6.88,8.14,7.13,13.86
88,2.48,5.21,10.92,0.69,6.83,7.02,9.43,16.73
89,3.45,3.33,17.64,0.91,5.45,9.21,7.20,18.77
90,3.98,4.84,5.12,0.66,8.59,7.19,5.58,11.14
91,3.17,5.24,14.39,0.96,7.33,6.18,5.65,7.63
92,3.33,4.22,9.56,0.94,6.85,5.69,9.07,7.89
93,1.65,4.06,11.49,0.56,6.86,3.56,4.18,7.73
94,3.37,2.74,11.15,0.73,4.43,3.13,5.92,9.44
95,2.20,4.03,6.31,0.61,4.18,2.85,4.74,11.45
96,3.08,1.01,8.94,0.56,8.10,6.70,2.84,12.77
97,2.63,2.10,11.32,0.22,5.25,4.16,5.80,5.65
98,2.32,2.93,8.20,0.72,9.98,3.02,3.07,12.28
99,1.66,2.79,9.93,0.89,6.97,4.58,7.91,6.96
100,1.84,3.01,5.76,0.51,2.44,4.47,10.05,11.56
101,1.30,2.24,3.55,0.48,6.45,4.62,4.42,8.85
102,1.72,1.17,1.77,1.08,5.95,4.46,5.16,11.59
103,0.45,3.10,5.74,0.56,2.91,4.96,1.91,5.17
104,0.50,3.84,11.42,0.74,4.05,4.58,7.20,4.95
105,0.54,1.80,9.83,0.36,3.22,6.51,5.35,13.63
106,1.66,2.74,9.10,0.44,4.64,6.63,1.72,2.17
107,2.26,3.37,9.50,0.47,1.49,3.95,5.06,11.17
108,1.55,1.38,10.75,0.90,2.88,3.00,6.11,5.37
109,1.63,4.48,4.71,0.44,3.19,4.99,4.59,10.36
110,1.43,3.38,0.32,0.81,1.57,3.88,6.39,2.30
111,1.15,0.89,7.50,0.66,4.74,4.71,4.04,6.48
112,1.04,4.04,6.22,0.15,3.75,5.25,1.82,4.62
113,3.43,4.39,6.79,0.51,6.50,4.79,5.55,1.08
114,1.06,0.00,4.31,0.55,5.24,3.31,6.76,6.68
115,0.77,2.50,9.49,0.16,5.34,3.92,7.80,13.70
116,1.43,3.27,6.08,0.49,7.68,4.04,4.19,6.17
117,1.58,1.98,11.10,0.36,5.81,4.18,4.12,11.33
118,1.41,2.63,2.82,1.13,5.50,4.01,5.23,9.94
119,1.57,2.28,7.50,0.83,3.37,4.66,4.81,5.40
120,2.75,2.18,6.77,0.78,4.52,6.41,4.47,7.57
121,2.92,1.93,6.70,1.33,6.75,4.64,7.36,7.75
122,2.50,3.18,9.92,0.91,5.21,5.02,4.19,12.53
123,3.15,4.89,14.12,0.61,8.17,5.18,3.94,12.90
124,3.41,1.70,7.62,0.67,6.40,6.62,8.75,9.25
125,3.06,3.59,6.15,1.11,7.51,7.57,7.39,9.88
126,1.93,4.56,10.22,1.09,5.32,6.98,9.72,8.98
127,2.74,4.38,15.41,0.86,8.62,5.29,4.76,14.54
128,3.42,3.84,10.86,1.37,6.83,6.87,4.48,8.66
129,2.40,5.26,19.02,1.30,6.25,4.81,9.35,7.83
130,2.13,5.57,8.89,1.31,6.77,5.68,9.26,11.46
131,3.13,4.34,12.13,1.33,4.72,6.40,8.67,12.20
132,2.80,4.24,18.73,0.97,6.76,6.18,5.17,12.09
133,4.55,3.09,19.63,1.68,8.56,10.55,9.06,9.33
134,3.88,6.11,14.03,1.23,8.67,8.15,12.61,17.41
135,3.15,6.25,16.81,0.78,11.37,8.34,7.79,16.55
136,5.54,3.82,21.71,1.18,7.14,6.77,9.45,14.05
137,3.52,5.98,14.61,1.50,10.73,8.63,7.94,16.27
138,4.82,7.10,10.26,1.78,10.09,10.22,9.10,15.48
139,2.39,4.14,18.47,1.31,11.87,7.72,9.12,11.86
140,2.87,4.61,16.18,1.14,12.65,9.27,12.23,12.03
141,5.34,5.88,13.61,1.32,9.11,10.09,9.30,15.86
142,3.35,6.33,14.58,2.09,8.31,7.72,10.41,17.90
143,5.29,6.94,15.02,1.40,11.87,9.22,8.55,17.69
144,5.21,6.50,13.29,1.27,11.28,9.55,12.19,18.28
145,4.03,6.40,14.55,1.44,9.35,8.39,9.03,15.94
146,5.12,4.78,14.62,1.57,11.79,6.14,9.64,16.35
147,3.49,4.50,13.22,1.11,11.45,6.30,5.70,18.41
148,3.82,6.26,15.40,1.76,11.51,8.29,9.92,21.57
149,4.06,6.95,15.40,1.14,9.71,8.24,10.50,15.61
150,3.78,4.51,15.75,1.69,10.44,6.19,5.55,11.42
151,3.85,5.79,16.98,1.00,8.91,8.50,11.42,10.19
152,5.16,3.83,13.22,1.23,8.84,7.84,11.61,16.65
153,2.68,3.79,17.17,1.24,8.49,6.38,11.56,14.01
154,4.22,5.48,14.56,1.34,9.06,7.02,9.92,15.48
155,5.25,4.93,12.62,1.13,10.00,7.77,10.55,15.74
156,2.91,4.49,15.12,1.17,8.10,5.74,8.60,15.92
157,3.58,3.78,12.09,1.81,7.75,7.57,6.36,13.29
158,2.51,4.50,10.63,0.97,8.80,7.80,10.41,11.61
159,3.39,4.58,12.96,1.31,5.63,5.69,6.54,13.72
160,3.57,3.99,8.96,1.25,3.02,6.00,7.18,8.35
161,3.27,4.27,12.99,0.83,4.01,10.22,3.96,18.59
162,1.96,3.69,9.49,1.29,7.09,6.14,5.85,15.23
163,3.55,6.31,16.17,1.08,5.35,7.07,4.75,12.21
164,4.04,2.35,9.07,0.89,7.78,6.22,8.03,9.38
165,3.05,5.80,12.18,0.45,8.65,6.33,7.85,8.62
166,1.87,3.06,10.78,0.68,3.26,4.44,6.26,12.39
167,3.06,5.38,11.63,1.28,5.68,5.51,4.97,10.50
168,2.02,3.80,6.30,0.55,6.82,0.81,4.45,5.07
169,2.61,5.72,13.74,0.74,3.33,2.31,6.66,12.06
170,1.55,1.56,8.27,0.91,4.07,3.52,3.04,9.74
171,1.61,4.44,6.33,0.95,10.59,2.63,5.11,7.87
172,0.82,3.05,12.05,0.93,6.89,6.58,2.70,7.94
173,2.47,4.57,6.99,0.20,5.03,6.17,3.89,7.59
174,1.90,2.36,10.42,0.60,3.23,2.57,4.33,10.95
175,0.50,2.95,13.12,1.19,5.41,3.23,6.80,0.64
176,1.34,2.22,5.35,0.69,3.56,5.11,3.49,6.93
177,2.32,2.87,7.73,0.19,2.80,3.50,3.00,9.16
178,2.20,3.33,13.88,0.73,5.60,3.98,3.37,10.83
