,N9,N3,N5,N7
0,49.45792846863392,49.52612278394713,49.53692363332351,49.692749190500535
1,41.89859719990534,41.947078745226015,41.948385347899446,42.31904084696063
2,36.20735261237143,36.2451049060826,36.26337552237098,37.073960991094225
3,31.773649039971655,31.852447334500308,31.809815898424596,32.60369795457936
4,28.223374816886906,28.283816173057918,28.255058317350194,29.15650689569899
5,25.318213828629812,25.36568865657181,25.333511094868722,26.51795580798386
6,22.90226395688565,22.960380975965798,22.95087399340743,24.193046216674286
7,20.855312686024362,20.90630007372359,20.88842264346379,22.224954155346147
8,19.103575719430356,19.202928687709505,19.15683911125601,20.413888972202475
9,17.586861504786224,17.676123900247042,17.625671290018953,18.82733510264304
10,16.261965116443623,16.34469400371919,16.323571536885225,17.51634375800801
11,15.095459151388889,15.20863847366996,15.1427622987,16.30256182922419
12,14.060687489323524,14.159158820054573,14.095277091905198,15.21550708434976
13,13.137171386357942,13.241460400582646,13.16264167787301,14.275533870087457
14,12.308056478146705,12.410356244567136,12.347504286166425,13.392682561630084
15,11.56000726582089,11.672652534219619,11.591177288877189,12.602076314022863
16,10.882052017106123,11.010493627901823,10.902947495036651,11.874972841666606
17,10.266122698241698,10.394932338156126,10.278620861973089,11.214784654721516
18,9.702497237485286,9.817537128369041,9.70857342893436,10.62297439921328
19,9.18639150287532,9.287466434126848,9.182993302073243,10.078136893111118
20,8.711233554754461,8.799389890917796,8.723556446633207,9.61760801290499
21,8.272533041430277,8.351233314779975,8.276617178456032,9.138362943318604
22,7.866749142711145,7.936221364452324,7.867510492135534,8.739932439256153
23,7.490481464776107,7.550001365323382,7.484412297787002,8.325493701595235
24,7.142004693201178,7.202370123987145,7.13054909947041,7.947848275453448
25,6.816260705359492,6.869183341465944,6.799772302072302,7.593084332775882
26,6.512162026595742,6.55686005715952,6.489171564041497,7.255479718368289
27,6.228403280776623,6.26379284714949,6.204155994397832,6.944514752989941
28,5.962313482931475,5.989054792714048,5.931517543091864,6.653041834253609
29,5.712423533685783,5.731305480830206,5.675719361284337,6.377301086503433
30,5.47737211589644,5.489170709240784,5.435938962942157,6.115994821089026
31,5.256591802870302,5.261102424890316,5.211337688453253,5.8801136871655455
32,5.048812483168205,5.046815266837718,4.999683709099844,5.659559770534134
33,4.852285396141481,4.845704673926118,4.80144828860275,5.456771060791595
34,4.666231541330174,4.654802915163694,4.611061662579744,5.250456900981028
35,4.491010564932507,4.472979983674163,4.430964392014851,5.053626942302073
36,4.324338271597964,4.300831709828982,4.268493942291188,4.868070256655471
37,4.1665303821614,4.138761647140323,4.107767825199272,4.692960736058135
38,4.016425000860241,3.984381451498839,3.9568892802663167,4.535901812596053
39,3.8737961700788275,3.8405666775638165,3.811694698246392,4.374572150584103
40,3.7381173858043595,3.7022244582963073,3.6735323824777746,4.219196430781756
41,4.285803920513278,3.610537397815029,3.5898161225920595,4.312419050265231
42,4.138624283526716,3.4833551209178233,3.4626038198465405,4.163985472635383
43,3.9984746888556533,3.361172317373742,3.3409595586185064,4.02648363641472
44,3.8645353535165867,3.244581774881867,3.2248061212571844,3.893203316829074
45,3.7367193012473527,3.138980263912588,3.1140084237180785,3.7683303372023214
46,3.6153114260350536,3.033662755024234,3.0104526520248847,3.654402322929315
47,3.4984241628037434,2.954520798915028,2.9165564672675095,3.5584382668243872
48,3.3865641822246877,2.8671462852203415,2.8197630954484034,3.4487698665688225
49,3.2795578258616476,2.7750473452514863,2.7268990801141606,3.342552822102812
50,3.1769189509495384,2.6858423217710716,2.6414518262086255,3.2599730405850194
51,3.078551916464688,2.601668759348535,2.5565540882476747,3.16262057323327
52,2.9842210010582897,2.527209843383227,2.4779449183740567,3.0713039893295364
53,2.8937030801797716,2.448019490197245,2.3998888659333417,2.9838725074523236
54,2.8073060261771077,2.3718885249023964,2.329451666944737,2.908865198796274
55,2.7238005128631975,2.305787342440336,2.2587332669243616,2.855781239196643
56,2.6437889355005035,2.235552939459462,2.190050538570106,2.7775839216501716
57,2.5666637948916726,2.168393009869983,2.125139329160603,2.702619695099472
58,2.4924071870377045,2.103904861457959,2.0617943108567807,2.6318200663765015
59,2.4214572350972805,2.0482976243874784,2.0001682524247375,2.5704173832789086
60,2.3530646376546094,1.9908771621742907,1.941606312900091,2.5039400807387477
61,2.2870335977494913,1.9338552949443164,1.8860623007714483,2.455476351231914
62,2.2230671236688075,1.8841063911613665,1.8312282484200064,2.400628274965119
63,2.161454241128521,1.8319718064422812,1.7794288089813,2.3432786926468165
64,2.1024151290260713,1.788900224707183,1.7363930926648967,2.2861992476374655
65,2.0450724294784024,1.74270873811966,1.6871592315946549,2.2343134160453677
66,1.9919844674464726,1.7000443478581242,1.6396379202581166,2.1949809980696
67,1.9387207626510536,1.6625099950994717,1.5966911923699332,2.1479981819275324
68,1.8875162190488013,1.617339396815463,1.5544654765848727,2.115353636353843
69,1.838435568928666,1.5767317018658247,1.5116841052192884,2.0700831757178264
70,1.7914270307832973,1.5343908820100802,1.478474982026303,2.0272905473214173
71,1.7449378605915329,1.4946299112345414,1.4387340037523009,1.9804356197671174
72,1.700973182277139,1.4550293044197098,1.4016248857237124,1.9577589950352732
73,1.6587874005545145,1.4172114364074395,1.3662785744198847,1.935390394056094
74,1.6164893490343668,1.3870885616551785,1.330997244779389,1.895510125027693
75,1.576413885720312,1.350909517138729,1.296434895817556,1.8731101396234955
76,1.5373887630362622,1.31821462185928,1.2665638019627943,1.8322276752838889
77,1.499084308085892,1.2846279281628221,1.2353649531697386,1.7931846676480026
78,1.462539797679815,1.2611755574366768,1.2048994292662043,1.7564648636687492
79,1.4266320493507807,1.2291945070285764,1.1758370357683798,1.7189067404609852
80,1.3918309993556974,1.1997532819810317,1.1453783181937944,1.684783315682926
81,1.3583099763495985,1.1695823163992287,1.1201658720591132,1.684541027869113
82,1.3256884907711362,1.142322683957543,1.0919743349713513,1.6493330848539138
83,1.2944803740296715,1.1301045244422745,1.0711880625700494,1.6145000501991587
84,1.2637260665567696,1.1387855564867253,1.0445858182535304,1.6152816550970202
85,1.2339348457255566,1.1221409011367227,1.01985237813487,1.5832873540401216
86,1.205038514725559,1.0958807512566513,0.9943984664909048,1.5535409195463428
87,1.177324430997909,1.0757333121831623,0.9714247998924702,1.519384848852833
88,1.1501822401260282,1.0490055756218448,0.9469702797687127,1.4958082137793645
89,1.1242661454525416,1.024080687019692,0.9242428757320837,1.4639596430217108
90,1.0986703857455744,0.9986867065792231,0.901174009976004,1.433250454640982
91,1.0739912628792994,0.9743800549421178,0.8787898252999058,1.4077657300251776
92,1.0501667951455387,0.9510697771873043,0.857028132838871,1.3792475018691723
93,1.0270712617267403,0.9304949471617353,0.8401243435261585,1.3502814320470957
94,1.0044638791680272,0.9080786835949711,0.8220775461056501,1.3205560244446235
95,0.9823946540465753,0.8868907797747356,0.8018771591478207,1.2914921638284822
96,0.9614118380661871,0.8653374499486999,0.7822938123604741,1.267203759989783
97,0.9407128666965334,0.8443386933022645,0.765053652817039,1.239342681334867
98,0.9208833832618338,0.823852288487248,0.7465468234156157,1.2148440857230158
99,0.9015360943550061,0.8047627660124614,0.7304803699008744,1.188579505964838
100,0.8826029162288246,0.7859045566856872,0.713994331397486,1.1838254988943386
101,0.8640394611139885,0.7689549227961574,0.6978167411961579,1.1621280881490745
102,0.845988584004099,0.7502890898915253,0.6819006242801162,1.153235805376194
103,0.8284130507034553,0.7322263743815528,0.6654073559657133,1.129605854549952
104,0.8113035567518557,0.7198403469710817,0.6495428567215364,1.1112917815412493
105,0.794865672718436,0.7035438270641949,0.6339751686823779,1.0922091167897103
106,0.7787770417149771,0.6914888715694186,0.618827447173549,1.075066355238963
107,0.76400002888955,0.676356291362584,0.6045224276071428,1.0515674616786561
108,0.7488388629171585,0.6604999406768247,0.5927895523211774,1.0304589620860085
109,0.734419022882588,0.6451425198569565,0.5787295020274184,1.007980900051235
110,0.7198909461625105,0.6314163191282728,0.5650311517672133,0.9966343597388628
111,0.7057179133674932,0.6175078917179023,0.5517569941631573,0.977526579335229
112,0.6919002937583204,0.6032259619383054,0.5388746277286066,0.9561184186627062
113,0.6795913292746015,0.5892119941197134,0.528142189474287,0.9524977978846799
114,0.6666921487208136,0.5758404018298285,0.5171543130026597,0.9365496600122483
115,0.6540090555986524,0.5632304097416322,0.5059124930040474,0.9265954782154937
116,0.6417631784350831,0.550877467344365,0.49955577446672694,0.9102027929855341
117,0.6295413827855861,0.5392178095796704,0.49002314394688923,0.8914281902762957
118,0.6176320855151297,0.5269446680200435,0.4792305249869691,0.8738827795661147
119,0.6063195392968961,0.5158521728747963,0.4683838451325468,0.8570419654805648
120,0.5954021721606582,0.506306457609988,0.4577985622207669,0.8424529512009441
121,0.5844998117634024,0.49522318539823934,0.44844319640617836,0.8311817819363111
122,0.5736541844801335,0.48437948513461365,0.43860242531264015,0.8150507904852438
123,0.5635080724568358,0.47414328627827385,0.42937868172436466,0.8045876968652594
124,0.5531520869145632,0.464354643056267,0.4200235356480407,0.7899510160946311
125,0.5430579913829224,0.4548082267481236,0.4112105552568624,0.7760373526178123
126,0.5333199778475605,0.44514961237913336,0.40234099499072523,0.767513626724803
127,0.5240812449678289,0.43600136265237355,0.39681389178294996,0.7533074571030299
128,0.5147638641705313,0.42736241198277736,0.38823034825921254,0.7421577868561067
129,0.5055063440424862,0.42192789921616586,0.38094578330864304,0.7314876354682561
130,0.4967373228754631,0.4132059213980354,0.37317278793581776,0.7208818745195275
131,0.48850053971069385,0.40558520872393244,0.36612775976065615,0.710887952904094
132,0.4807820311622886,0.40139214998440287,0.3595468608067998,0.7014837308938313
133,0.4723906039476785,0.39403169204495003,0.3524144503208927,0.6950662993325679
