,N9,N3,N5,N7
177,0.25,0.04,0.04,0.04
178,0.25,0.04,0.04,0.04
179,0.25,0.04,0.04,0.04
180,0.25,0.04,0.04,0.04
181,0.25,0.04,0.04,0.04
182,0.25,0.04,0.04,0.04
183,0.25,0.04,0.04,0.04
184,0.25,0.04,0.04,0.04
185,0.25,0.04,0.04,0.04
186,0.25,0.04,0.04,0.04
187,0.25,0.04,0.04,0.04
188,0.25,0.04,0.04,0.04
189,0.25,0.04,0.04,0.04
190,0.25,0.04,0.04,0.04
191,0.25,0.04,0.04,0.04
192,0.25,0.04,0.04,0.04
193,0.25,0.04,0.04,0.04
194,0.25,0.04,0.04,0.04
195,0.25,0.04,0.04,0.04
196,0.25,0.04,0.04,0.04
197,0.25,0.04,0.04,0.04
198,0.25,0.04,0.04,0.04
199,0.25,0.04,0.04,0.04
200,0.25,0.04,0.04,0.04
201,0.25,0.04,0.04,0.04
202,0.25,0.04,0.04,0.04
203,0.25,0.04,0.04,0.04
204,0.25,0.04,0.04,0.04
205,0.25,0.04,0.04,0.04
206,0.25,0.04,0.04,0.04
207,0.25,0.04,0.04,0.04
208,0.25,0.04,0.04,0.04
209,0.25,0.04,0.04,0.04
210,0.25,0.04,0.04,0.04
211,0.25,0.04,0.04,0.04
212,0.25,0.04,0.04,0.04
213,0.25,0.04,0.04,0.04
214,0.25,0.04,0.04,0.04
215,0.25,0.04,0.04,0.04
216,0.25,0.04,0.04,0.04
217,0.25,0.04,0.04,0.04
218,0.25,0.04,0.04,0.04
219,0.25,0.04,0.04,0.04
220,0.25,0.04,0.04,0.04
221,0.25,0.04,0.04,0.04
222,0.25,0.04,0.04,0.04
223,0.25,0.04,0.04,0.04
224,0.25,0.04,0.04,0.04
225,0.25,0.04,0.04,0.04
226,0.25,0.04,0.04,0.04
227,0.25,0.04,0.04,0.04
228,0.25,0.04,0.04,0.04
229,0.25,0.04,0.04,0.04
230,0.25,0.04,0.04,0.04
231,0.25,0.04,0.04,0.04
232,0.25,0.04,0.04,0.04
233,0.25,0.04,0.04,0.04
234,0.25,0.04,0.04,0.04
235,0.25,0.04,0.04,0.04
236,0.25,0.04,0.04,0.04
237,0.25,0.04,0.04,0.04
238,0.25,0.04,0.04,0.04
239,0.25,0.04,0.04,0.04
240,0.25,0.04,0.04,0.04
241,0.25,0.04,0.04,0.04
242,0.25,0.04,0.04,0.04
243,0.25,0.04,0.04,0.04
244,0.25,0.04,0.04,0.04
245,0.25,0.04,0.04,0.04
246,0.25,0.04,0.04,0.04
247,0.25,0.04,0.04,0.04
248,0.25,0.04,0.04,0.04
249,0.25,0.04,0.04,0.04
250,0.25,0.04,0.04,0.04
251,0.25,0.04,0.04,0.04
252,0.25,0.04,0.04,0.04
253,0.25,0.04,0.04,0.04
254,0.25,0.04,0.04,0.04
255,0.25,0.04,0.04,0.04
256,0.25,0.04,0.04,0.04
257,0.25,0.04,0.04,0.04
258,0.25,0.04,0.04,0.04
259,0.25,0.04,0.04,0.04
260,0.25,0.04,0.04,0.04
261,0.25,0.04,0.04,0.04
262,0.25,0.04,0.04,0.04
263,0.25,0.04,0.04,0.04
264,0.25,0.04,0.04,0.04
265,0.25,0.04,0.04,0.04
266,0.25,0.04,0.04,0.04
267,0.25,0.04,0.04,0.04
268,0.25,0.04,0.04,0.04
269,0.25,0.04,0.04,0.04
270,0.25,0.04,0.04,0.04
271,0.25,0.04,0.04,0.04
272,0.25,0.04,0.04,0.04
273,0.25,0.04,0.04,0.04
274,0.25,0.04,0.04,0.04
275,0.25,0.04,0.04,0.04
276,0.25,0.04,0.04,0.04
277,0.25,0.04,0.04,0.04
278,0.25,0.04,0.04,0.04
279,0.25,0.04,0.04,0.04
280,0.25,0.04,0.04,0.04
281,0.25,0.04,0.04,0.04
282,0.25,0.04,0.04,0.04
283,0.25,0.04,0.04,0.04
284,0.25,0.04,0.04,0.04
285,0.25,0.04,0.04,0.04
286,0.25,0.04,0.04,0.04
287,0.25,0.04,0.04,0.04
288,0.25,0.04,0.04,0.04
289,0.25,0.04,0.04,0.04
290,0.25,0.04,0.04,0.04
291,0.25,0.04,0.04,0.04
292,0.25,0.04,0.04,0.04
293,0.25,0.04,0.04,0.04
294,0.25,0.04,0.04,0.04
295,0.25,0.04,0.04,0.04
296,0.25,0.04,0.04,0.04
297,0.25,0.04,0.04,0.04
298,0.25,0.04,0.04,0.04
299,0.25,0.04,0.04,0.04
300,0.25,0.04,0.04,0.04
301,0.25,0.04,0.04,0.04
302,0.25,0.04,0.04,0.04
303,0.25,0.04,0.04,0.04
304,0.25,0.04,0.04,0.04
305,0.25,0.04,0.04,0.04
306,0.25,0.04,0.04,0.04
