,N9,N3,N5,N7
0,-70.2446060180664,34.104061126708984,33.41703796386719,27.845890045166016
1,-69.6005859375,33.70203399658203,32.94770050048828,27.58890724182129
2,-69.32213592529297,33.79644012451172,33.330902099609375,27.558032989501953
3,-68.94159698486328,34.000736236572266,33.402103424072266,28.137537002563477
4,-69.19039916992188,34.08491516113281,33.36484909057617,28.58575439453125
5,-68.37271881103516,34.57157516479492,33.888038635253906,28.840646743774414
6,-67.12200927734375,34.93427276611328,34.28076934814453,29.11046028137207
7,-66.22100067138672,35.60747528076172,34.675567626953125,29.550840377807617
8,-64.9870376586914,35.57803726196289,35.096561431884766,30.190776824951172
9,-63.71531295776367,36.112510681152344,35.685340881347656,31.129518508911133
10,-62.9005126953125,36.63524627685547,36.20276641845703,31.673810958862305
11,-62.35728454589844,37.13439178466797,36.62957763671875,32.44501876831055
12,-59.979129791259766,37.795963287353516,37.33578872680664,33.08348846435547
13,-58.43760299682617,38.159156799316406,37.80545425415039,33.9731559753418
14,-56.4460563659668,38.92949295043945,38.46139907836914,34.5409049987793
15,-55.343204498291016,39.379512786865234,39.09297561645508,35.39925003051758
16,-53.2246208190918,39.93257141113281,39.73974609375,36.63054275512695
17,-52.428836822509766,40.64916229248047,40.20900344848633,37.02066421508789
18,-50.13103485107422,41.197750091552734,40.89860916137695,38.02753448486328
19,-48.08393096923828,41.98605728149414,41.78961944580078,39.07183837890625
20,-45.8447380065918,42.54154968261719,42.20008087158203,39.401405334472656
21,-44.54901123046875,42.93266677856445,42.600006103515625,40.044864654541016
22,-43.38975524902344,43.43942642211914,43.14158630371094,40.71579360961914
23,-41.3623046875,44.025638580322266,43.37202072143555,41.45109939575195
24,-39.87028884887695,44.46967697143555,43.97167205810547,42.1785888671875
25,-38.307376861572266,44.894073486328125,44.2877311706543,42.41243362426758
26,-36.98359298706055,44.904319763183594,44.619964599609375,42.85828399658203
27,-36.318538665771484,45.33537292480469,45.020694732666016,43.44718551635742
28,-34.580501556396484,45.714534759521484,45.55510330200195,44.01890563964844
29,-34.669700622558594,45.659950256347656,45.62644958496094,43.98446273803711
30,-32.943336486816406,45.879329681396484,45.81718826293945,44.542301177978516
31,-32.75912094116211,46.26654815673828,46.024208068847656,44.59700393676758
32,-31.45166778564453,46.21607971191406,46.18180847167969,45.15580368041992
33,-30.854717254638672,46.41569519042969,46.33079528808594,45.3168830871582
34,-29.89287757873535,46.45587921142578,46.34552001953125,44.88204574584961
35,-29.079626083374023,46.98640823364258,46.73977279663086,45.08041000366211
36,-29.475643157958984,46.747642517089844,46.489017486572266,45.56331253051758
37,-30.28959083557129,46.74989700317383,46.43184280395508,45.161956787109375
38,-29.987754821777344,46.5181999206543,46.35193634033203,45.367523193359375
39,-30.589895248413086,46.47621536254883,46.250648498535156,45.075557708740234
40,-31.395891189575195,46.25659942626953,46.15101623535156,45.310630798339844
41,-31.93160057067871,46.23065948486328,46.113285064697266,44.71805953979492
42,-32.753273010253906,46.065975189208984,45.988121032714844,44.70147705078125
43,-33.360679626464844,45.756988525390625,45.615657806396484,44.28948211669922
44,-34.62354278564453,45.49637222290039,45.21227264404297,43.928688049316406
45,-36.0771369934082,45.40729522705078,44.93045425415039,43.67847442626953
46,-37.723480224609375,44.82783126831055,44.6993408203125,43.13083267211914
47,-38.88227844238281,44.73187255859375,44.58443069458008,42.57332229614258
48,-41.03679656982422,44.04769515991211,43.83499526977539,42.004310607910156
49,-41.36558151245117,44.078948974609375,43.77516555786133,41.583133697509766
50,-43.46792221069336,43.241363525390625,43.04826354980469,40.51093292236328
51,-44.760475158691406,42.97264862060547,42.636680603027344,40.18651580810547
52,-46.6849479675293,42.443363189697266,42.114131927490234,39.23414611816406
53,-48.17774200439453,41.88771438598633,41.72073745727539,38.800811767578125
54,-49.815311431884766,41.49180221557617,41.11397933959961,38.30197525024414
55,-51.66359329223633,40.65424346923828,40.39252853393555,37.10417175292969
56,-53.21851348876953,40.22169494628906,39.7633056640625,36.5748176574707
57,-55.497676849365234,39.37533950805664,39.11030197143555,35.52354049682617
58,-57.034732818603516,38.81156921386719,38.49122619628906,34.6992073059082
59,-58.07636642456055,38.554229736328125,38.019615173339844,33.87165069580078
60,-59.72685241699219,37.99834060668945,37.33401107788086,33.29666519165039
61,-60.969329833984375,37.35598373413086,36.946861267089844,32.28499984741211
62,-62.84440231323242,36.631370544433594,36.237735748291016,31.566242218017578
63,-64.14505767822266,36.43619918823242,35.634376525878906,30.888097763061523
64,-65.06718444824219,35.7157096862793,34.9354362487793,29.95424461364746
65,-66.15403747558594,35.58828353881836,34.86974334716797,29.532127380371094
66,-67.14187622070312,34.93994903564453,34.27724075317383,29.03207778930664
67,-67.36001586914062,34.781429290771484,34.0799674987793,28.660966873168945
68,-68.63526916503906,34.316070556640625,33.769779205322266,28.36465835571289
